nr,text
49,"The image is a driver's perspective approaching an intersection with tram tracks in an urban area.Road Signs:A Main Road sign (201) is visible on the right, indicating the driver is on the road with the right of way.A Direction of Main Road plate (812) is mounted below the Main Road sign, showing that the main road curves to the right.A Give Way sign (206) is partially visible on the left side of the intersection, facing traffic entering from the left.Traffic and Tracks:The intersection contains tram tracks crossing the driver's path.A white and blue tram is stopped on the right side of the intersection.A red passenger car is visible next to the tram, likely on the street joining from the right.A blue passenger car is visible on the street joining from the left.Markings: Green arrows are digitally overlaid on the road to illustrate potential movement paths in the intersection."
50,"The image is a driver's perspective approaching an intersection with tram tracks in a residential urban area.Traffic Signals: The main traffic light is green for the driver (straight or right/left), while the traffic light for the tram is red (indicating the tram must stop). All other traffic lights visible in the intersection are also showing red or red and green, controlling the other directions.Road Signs:A Main Road sign (201) is visible on the right.A Give Way sign (206) is visible on the left, facing traffic entering from that direction.Traffic and Tracks: A white and blue tram is visible straight ahead on the tracks, stopped or slowing before the intersection.Markings: A green arrow is digitally overlaid on the road, illustrating a possible turn right maneuver onto the street with the tram tracks."
51,"The image is a driver's perspective approaching an unregulated intersection with tram tracks in a residential urban area.

Intersection Type: The intersection has no visible traffic signs (like Stop or Main Road) or traffic lights, suggesting it is an intersection of equal significance (vienādas nozīmes ceļu krustojums).

Traffic:

A white and blue tram is visible on the left, approaching the intersection and turning left (indicated by the digital green arrow overlay). The tram is on the driver's left.

An orange passenger car is visible on the right, also approaching the intersection. The car is on the driver's right.

Markings: Green arrows are digitally overlaid on the road to illustrate possible movement paths, with the driver's intended path being straight ahead. The tram is turning left, and the orange car appears to be going straight or turning slightly left."
52,"The image is a driver's perspective approaching an intersection with tram tracks in an urban area.Road Signs:A Main Road sign (201) is visible on the right, indicating the driver is on the road with the right of way.A Direction of Main Road plate (812) is mounted below the main sign, showing that the main road turns left.A Give Way sign (206) is visible on the left side of the intersection, facing the traffic (motorcycle) entering from the left.Traffic and Tracks:A white and blue tram is visible straight ahead on the tracks, approaching the intersection and preparing to turn left (indicated by the digital green arrow overlay).A motorcycle is visible on the right, on the side road that must yield to main road traffic.The driver's vehicle has the left turn signal activated (green arrow flashing left on the dashboard).Markings: Green arrows are digitally overlaid on the road, illustrating the driver's intended path to turn left following the direction of the main road. The tram's path also follows the left turn."
53,"The image is taken from a view above and behind a yellow sedan that appears to have just been rear-ended by a blue hatchback.Traffic Incident: The yellow sedan is stopped in the right lane of a street, and the blue hatchback is stopped directly behind it, touching the bumper (indicated by the star-like graphic on the yellow car's rear). This depicts a rear-end collision.Intersection: The incident occurs just before a T-junction where a road joins from the right.Road Sign: A blue circular sign with a white number 60 (Sign 401 in Latvian CSN) is visible on the right, indicating a mandatory minimum speed of 60 km/h, which is an unusual sign for this context, but it is present. The road markings show solid white lines defining the edge of the road."
54,"The image is a driver's perspective on a straight, two-way urban street, where the road surface and surroundings indicate a possible residential or inner-city area.Warning Sign: A triangular sign with a jagged, uneven profile (125 in Latvian CSN) is visible on the right, warning of Road Humps or Uneven Road Surface (commonly used for speed bumps).Road Layout: The road is lined with trees on the left and a continuous hedge/wall on the right, alongside a paved area likely a bicycle path or sidewalk.Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon). Other indicators like the speedometer are visible but do not show specific speed information.Traffic: A single small, dark vehicle is visible far ahead in the distance."
55,"The image is a view from a high perspective (driver's point of view or slightly above) on a multi-lane urban highway or major street.

Road Layout: The road features two lanes in the driver's direction of travel, separated by a dashed white line.

Traffic: A green SUV is traveling in the right lane. A grey truck or van is traveling ahead of the SUV in the left lane.

Side Area/Path: To the right of the road, there is a separate paved area marked with a bicycle path symbol, along which a motorcycle is parked or stopped. A pedestrian is walking on this path beside the motorcycle.

Environment: The street is bordered by a mix of high-rise apartment buildings in the background and low-rise residential houses (yellow/brown) closer to the road, indicating a transition area in the city."
56,"The image is a driver's perspective approaching an unregulated intersection in an urban area with cobblestone road surface.

Intersection Type: The intersection has no visible traffic signs or traffic lights for the driver, suggesting it is an intersection of equal significance (vienādas nozīmes ceļu krustojums).

Traffic:

A red motorcycle is approaching from the left side of the intersection.

A yellow passenger car is approaching from the right side of the intersection.

Markings: A large green arrow is digitally overlaid on the road, illustrating the driver's intended path to proceed straight ahead. The paths of the motorcycle and the yellow car are also indicated by green arrows, showing the motorcycle proceeding straight and the yellow car turning left.

Road Surface: The intersection has a distinctive cobblestone surface (bruģis).

Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
57,"The image is a driver's perspective approaching a T-junction in a rural or residential area.Prohibitory Sign: A circular sign with a red border and a black arrow pointing left with a red diagonal line through it (Sign 305 in Latvian CSN) is visible on the right. This sign signifies No Left Turn (Kreisā virziena aizliegums).Road Layout: The road is a light-colored, likely gravel or packed earth surface, leading straight to a T-junction.Traffic: No other vehicles or pedestrians are immediately visible in the image.Environment: The street is bordered by trees and a house in the distance, typical of a residential or lower-traffic area."
58,"The image is a view from above and slightly behind the traffic, showing a highway or multi-lane rural road with a potential maneuver in progress.

Vehicles: A large green truck (tractor-trailer) is in the right lane. A red passenger car is in the left lane, and a yellow sedan and a blue hatchback are further ahead in the right lane.

Maneuvers (Indicated by Arrows):

The green truck is depicted as continuing straight ahead in the right lane.

The red car is shown making a U-turn or turning left (indicated by the large curved green arrow). The rear of the red car has a star-like graphic, possibly indicating a brake light or a simulated collision/hazard.

The yellow sedan is shown continuing straight ahead in the right lane.

The blue hatchback is shown continuing straight ahead in the right lane.

Road Layout: The road has dashed white lines separating the lanes.

In summary: A green truck is proceeding straight. Ahead, a red car is performing a U-turn/left turn in the left lane, while a yellow sedan and a blue hatchback are proceeding straight in the right lane."
59,"The image is a driver's perspective on a rural road approaching an urban area.Warning Sign: A Town/City Limit sign (a blue rectangular sign with a silhouette of buildings, Sign 520 in Latvian CSN) is visible on the right, indicating the driver is entering a populated area. The standard speed limit for this area is 50 km/h unless otherwise posted.Road Layout: The road is a two-way single carriageway, with dashed white lane markings.Traffic: A grey passenger car is visible ahead in the same lane. A red city bus is visible stopped or slowing down on the left side of the road, potentially at a bus stop. A white vehicle is visible in the rear-view mirror, approaching from behind.Environment: The road is surrounded by fields and hills, with a complex of institutional or older residential buildings visible in the middle distance."
60,"The image is taken inside a gas station or fueling area with vehicles present.

Location: The setting is a commercial fueling station, indicated by the pumps, canopy (purple and yellow structure), and small building kiosks.

Vehicles:

A red passenger car is visible in the foreground, parked on a paved area (likely for temporary waiting or parking) to the right of the fueling area. A person is visible in the driver's seat.

A green hatchback is driving through the fueling lanes beneath the canopy, approaching the pumps.

People: A man wearing khaki pants and a dark shirt is standing near one of the kiosks on the far left.

Environment: In the background, there is a large, aging apartment building (typical of a Soviet-era panelēnmāja or similar high-density housing), suggesting the gas station is located in a residential urban area."
61,"The image is an elevated view from behind a white passenger car on a two-way rural road.

Vehicle: A white hatchback or wagon is traveling on the road, carrying two bicycles secured on a roof rack.

Road Layout: The road is a two-way, single carriageway, indicated by the dashed white center line. It appears to be relatively narrow and winding, with the road sloping up ahead.

Road Markings/Features: The road is bordered by a wooden fence and grassy hillsides. Small white and black marker posts are visible on the side of the road, typically indicating the road edge or curve path.

Environment: The setting is hilly and rural, with trees and fields."
62,"The image is a driver's perspective approaching a marked pedestrian crossing in an urban area.Crossing and Sign: A Pedestrian Crossing sign (blue square with a pedestrian silhouette, Sign 533 in Latvian CSN) is visible on the right. The road is marked with broad white stripes (zebra crossing).Pedestrians/Cyclists:A man walking with a bicycle is visible on the left, starting to cross or near the crossing.A man riding a bicycle is visible on the right, near the crossing sign.Two other pedestrians are visible on the sidewalk in the distance.Road Layout: The road is a two-way, single-carriageway street lined by multi-story residential and commercial buildings.Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
63,"The image is a high-angle view focusing on a two-way road section in a rural or park-like setting.

Road Layout: The road is a single carriageway with dashed white lines marking the center, separating traffic traveling in opposite directions. The road surface appears to be a light-colored, possibly gravel-infused asphalt.

Shoulder/Curb: The road has a raised grey curb on both sides, separating the traffic area from the surrounding grass and vegetation.

Environment: On the left, there is a tree trunk and weeping willow foliage, and both sides feature grassy verges, suggesting the area is a park, roadside, or low-speed suburban street.

Traffic: No vehicles, signs, or pedestrians are visible."
64,"The image is a driver's perspective approaching an intersection with traffic lights in a modern urban area.Traffic Lights:The traffic light directly ahead is showing a red circular signal combined with a green straight-ahead arrow (Section 7.6 of CSN). The red light is likely for general traffic movement, while the green arrow grants permission to proceed straight.The traffic light for the left-side street is showing a flashing green arrow and a flashing red star/light on the main signal, indicating an action is occurring or a specific maneuver is permitted.The traffic light for the right-side street (to the right of the red car) is also showing a flashing green arrow and a flashing red star/light, similar to the left-side light.Traffic: A red hatchback is visible on the left side street, preparing to enter the intersection, following a path indicated by a green arrow to turn right.Maneuvers (Indicated by Arrows): The driver's intended path is indicated by a large green arrow pointing straight ahead. A white arrow shows traffic from the right also proceeding straight.Environment: The intersection is surrounded by high-rise buildings and trees."
65,"The image is a high-angle view focused entirely on road markings on a multi-lane highway or main road.

Lane Markings: The road features a set of double solid white lines in the center, which strictly prohibits crossing or turning across them in both directions.

Lane Division: On both sides of the double solid lines, there are parallel dashed white lines, dividing the road into at least four lanes (two in each direction).

Instructional Markings: White curved arrows are painted within the lanes on both sides of the double solid lines. These arrows are commonly known as guidance arrows and indicate that drivers must prepare to change lanes or that the current lane will soon end or change its function (e.g., merging or becoming a mandatory turn lane)."
66,"The image is a driver's perspective approaching an unregulated T-junction in a residential area.

Intersection Type: The intersection has no visible signs or lights, suggesting it is an intersection of equal significance (vienādas nozīmes ceļu krustojums). The roads are paved with a light-colored, gravel-like surface.

Traffic:

A large blue truck/semi-trailer is approaching from the left side of the intersection and is preparing to turn right, onto the driver's road. The truck has a star-like graphic indicating a brake or hazard light.

A green hatchback is approaching from the right side of the intersection.

Maneuvers (Indicated by Arrows): The driver's dashboard shows the left turn signal is active (green arrow flashing left). A large green arrow overlaid on the road indicates the driver's intended path is to turn left. Green arrows also illustrate the truck turning right and the green car turning left.

Environment: The intersection is surrounded by residential buildings and trees."
67,"The image is a driver's perspective approaching a signalized intersection with tram tracks in a modern urban environment.Road Signs:A Main Road sign (201 in Latvian CSN) is visible on the right.A Direction of Main Road plate (812) is mounted below it, showing the main road continues straight and turns right at this intersection (forming a perpendicular main road crossing).Traffic Signals: The main traffic light for the driver is showing a red circular light and a green arrow pointing right (a subsidiary signal, Section 7.6 of CSN). This combination allows the driver to turn right, even if the general signal is red.Traffic and Tracks:A white and blue tram is visible straight ahead on the tracks.The traffic lights on the left and ahead are also showing signals (red and green, or red stars), controlling other directions of movement.Maneuver (Indicated by Arrow): A green arrow overlaid on the road indicates the driver's intended path is to turn right."
68,"The image is a driver's perspective approaching a major urban intersection where the driver must yield.Road Sign: A Give Way sign (inverted triangle, Sign 206 in Latvian CSN) is visible on the right, indicating the driver must yield to traffic on the intersecting road.Traffic:A yellow and black motorcycle is visible on the right, traveling on the priority road that the driver must yield to.A red passenger car is visible in the distance, traveling straight on the priority road.Other vehicles are visible in the rear-view mirror and ahead on the priority road.Maneuver (Indicated by Arrows): The driver's dashboard shows the left turn signal is active (green arrow flashing left). A large green arrow overlaid on the road indicates the driver's intended path is to turn left.Environment: The intersection is surrounded by high-rise and low-rise urban buildings."
69,"The image is a high-angle view showing a passenger car attempting to pass a bus stopped at a bus stop.Location/Sign: A blue square sign with a bus silhouette (531 in Latvian CSN) is visible on the right, indicating a Bus Stop (Autobusu pietura).Vehicles:An orange city bus is stopped or slowing down at the designated bus bay, slightly pulled off the main road. The rear of the bus has a star-like graphic indicating brake lights or hazard.A red passenger car is visible in the main traffic lane, preparing to overtake the stopped bus.Maneuver (Indicated by Arrow): A green arrow overlaid on the road indicates the red car's intended path to move into the left lane to overtake the bus.Environment: The road runs alongside a large apartment building (orange and brown facade) and a grassy area, typical of a busy urban residential street."
70,"The image is a high-angle view showing an orange passenger car approaching a T-junction in a rural environment.Road Signs:A Mandatory Direction sign (blue square with a white straight arrow, Sign 402 in Latvian CSN) is visible on the right, indicating traffic must proceed straight ahead.A Priority Road Intersection sign (white square with a black cross, Sign 207 in Latvian CSN) is visible on the left, facing the side road. This sign indicates that traffic on the side road must yield to the priority road.Traffic: An orange passenger car is visible on the road, approaching the intersection. No other vehicles are visible.Junction Layout: The road forms a T-junction with another road joining from the left. Both roads are paved and bordered by grassy, wooded areas."
71,"The image is a driver's perspective on a narrow, slightly rough-paved urban street in a high-density residential area.

Road Layout: The street is bordered by high-rise apartment buildings of various colors. There is a sidewalk/pedestrian area on the right where vehicles are parked and people are walking.

Traffic/People:

A man in a suit is walking on the sidewalk near the parked cars on the right.

Several parked vehicles (yellow SUV, red hatchback, white sedan) are visible on the right.

Other pedestrians are visible in the distance.

No other moving vehicles are immediately visible in the driver's path.

Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon).

Maneuver: No specific maneuver is indicated by arrows, but the driver is proceeding straight down the street."
72,"The image is a driver's perspective on a wide, two-way urban avenue surrounded by high-rise apartment buildings.

Road Layout: The road is a multi-lane street, with two lanes visible in the driver's direction of travel, separated by solid white lines (on the left edge and center). The road also has a dedicated shoulder or lane separated by a curb on the right.

Traffic:

A green passenger car is visible directly ahead in the right lane.

Further ahead, a line of traffic is stopped or moving slowly, including a police car with its lights flashing (indicated by a star graphic). This suggests a traffic incident, control point, or escort.

There is another vehicle visible behind the green car in the left lane.

Environment: The street is bordered by a mix of tall, modern apartment buildings on the left and a row of shorter, older residential houses on the right, separated by a fence.

Maneuver: The driver is proceeding straight."
73,"The image is a high-angle view showing a passenger car performing a U-turn near a tram.

Vehicles: A red hatchback is visible in the middle of the road, performing a U-turn maneuver (indicated by the large green curved arrow). A white and blue tram is visible on the tram tracks, approaching or passing the area where the U-turn is occurring. The red car has a star-like graphic, possibly indicating a hazard or warning.

Road Layout: The road is a paved surface with a single set of tram tracks running parallel to the direction of travel. Dashed white lane markings are present on the road. The road is bordered by a grassy verge and a curb.

Maneuver: The red car is turning sharply across the road and tracks to change direction."
74,"The image is a driver's perspective approaching an unregulated intersection in an urban area with a cobblestone road surface.

Intersection Type: The intersection has no visible traffic signs or traffic lights, suggesting it is an intersection of equal significance (vienādas nozīmes ceļu krustojums).

Traffic:

A yellow and black motorcycle is approaching from the left side of the intersection.

A red passenger car is approaching from the right side of the intersection.

Road Surface: The intersection is paved with cobblestones (bruģis).

Environment: The intersection is surrounded by multi-story residential buildings and trees lining the streets.

Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
75,"The image is a driver's perspective on a cobblestone-paved urban street approaching a sign that marks the end of a previous restriction.Road Sign: A circular sign with a diagonal black line through it (Sign 300 in Latvian CSN) is visible on the right. This sign signifies the End of all Prohibitions and Restrictions previously imposed by specific prohibitory signs (like speed limits, no overtaking, etc.).Road Layout: The road surface is cobblestone (bruģis). On the left, there is an area where several cars are parked at an angle (blue, dark grey, light blue). On the right, there is a curb separating the road from a paved sidewalk and a grassy park area with trees.Traffic/Parking: Several cars are parked on the left side, and a person is visible walking on the sidewalk in the distance.Environment: The street is bordered by older buildings and parkland, with modern apartment buildings visible in the far distance."
76,"The image is a driver's perspective approaching an unregulated intersection in a historic urban area.

Intersection Type: The intersection has no visible traffic signs or traffic lights for the driver, suggesting it is an intersection of equal significance (vienādas nozīmes ceļu krustojums).

Traffic:

A green passenger car is approaching from the left side of the intersection.

A motorcyclist (red clothing) is visible ahead, having crossed or preparing to cross the driver's path from right to left.

Two pedestrians are visible on the sidewalk in the distance.

Maneuver (Indicated by Arrow): A large green arrow overlaid on the road indicates the driver's intended path is to proceed straight ahead.

Environment: The street is bordered by older, multi-story buildings with distinct architectural details (green, yellow, and red facades).

Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
77,"The image is a driver's perspective on a rural road approaching an intersection and an urban area boundary.Road Signs:A Speed Limit sign ($329$ in Latvian CSN) indicating a maximum speed of $70$ km/h is visible on the right.Directly below the speed limit sign is an information plate with the silhouette of buildings (Sign $800$ series), indicating the restriction applies to the approaching populated area or a specific zone within it.Road Layout: The road is a two-way, single carriageway, surrounded by fields and patches of trees. White and black marker posts are visible on the roadside.Traffic:A grey convertible is visible ahead in the same lane.A bus (orange and white) is visible on the left side of the road, stopped or slowing down near a bus stop/entrance.A dark vehicle is visible far ahead in the rear-view mirror.Environment: The area features fields, trees, and a complex of large, light-colored buildings (institutional or older residential) in the middle distance."
78,"The image is a driver's perspective on a wide, multi-lane urban avenue in a city environment.Road Sign: A blue square sign with a vertical double-headed white arrow ($532$ in Latvian CSN) is visible on the right. This sign signifies a Two-Way Road (Divvirzienu satiksme), indicating the end of a one-way street or the start of a two-way section.Road Layout: The road has two lanes for travel in the driver's direction (indicated by dashed lane markings) and what appears to be a solid center line dividing it from oncoming traffic (though the full width is not clear).Traffic/People:Several pedestrians are visible on the sidewalks/verges on both the left and right sides of the road.There are no other vehicles immediately in the frame.Environment: The street is bordered by tree-lined medians/verges and large, multi-story apartment buildings.Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
79,"The image is a driver's perspective on a two-way urban street in a mixed residential and commercial area.Road Sign: A triangular sign with a red border and a bicycle silhouette ($127$ in Latvian CSN) is visible on the right. This sign warns of a Bicycle Path Crossing (Velosipēdu ceļa šķērsojums) ahead, where cyclists may cross the road.Road Layout: The street is a single carriageway bordered by curbs and a sidewalk/verge on the right. A painted line on the right side indicates a separate lane or path.Traffic/People:A cyclist is visible on the right, on the path near the crossing area.Several parked cars are visible in a lot on the right side of the road.A red truck is visible far ahead in the center of the road.Environment: The street is lined with apartment buildings and commercial/institutional structures (brown and glass).Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
80,"The image is a high-angle view showing a passenger car attempting to overtake a truck on a two-way rural road.Road Signs: A blue square sign with a white upward arrow (Sign $402$ in Latvian CSN) is visible on the right, indicating Mandatory Direction Straight Ahead.Vehicles:A yellow passenger car is in the left lane, in the process of overtaking (indicated by the green curved arrow). The car has a star-like graphic on its front, possibly indicating a hazard or a collision point.A large green truck is traveling in the right lane.A dark blue and white truck is visible ahead of the green truck, also traveling in the right lane.Road Layout: The road is a two-way, single carriageway, separated by a dashed white center line. It is bordered by trees and grassy verges, characteristic of a rural or non-urban area.Maneuver: The yellow car is actively overtaking the green truck and moving back into the right lane after passing the truck ahead."
81,"I have received a new set of images, including many that have been previously described. I will focus on the image that has not been described yet in this conversation: image_b01b66.jpg.

👮 Road Situation Description: image_b01b66.jpg
The image is a high-angle view showing an intersection controlled by a traffic controller/police officer (Regulētājs).

Traffic Controller: A traffic controller in a dark uniform and yellow reflective vest is standing in the center of the intersection. The officer's right arm is extended straight out to the side, with the palm facing the yellow car and the driver's perspective (though the driver is not visible). His left arm is extended towards the blue truck. The front-facing image (in the foreground) shows another officer holding a red circular paddle, further confirming the control signal.

Controller Signals (Latvian CSN): The gesture of the extended arm(s) with palms towards approaching traffic signifies STOP for traffic coming from the front and back (if arms were extended forward and back). With both arms extended (or right arm extended), traffic from the left and right sides is generally permitted to proceed.

Traffic:

A yellow passenger car is approaching from the front-left and must stop.

A red passenger car is approaching from the front-right and must stop.

A blue truck is approaching from the back-right side road.

A motorcyclist is approaching from the back-left side road.

Intersection Type: The intersection is unregulated by signs or lights, relying solely on the traffic controller. The road surface is cobblestone/gravel."
82,"The image is a high-angle view showing a complex road section featuring two lanes, tram tracks, and multiple vehicles.

Road Layout: The road is a two-way street with asphalt lanes and a set of tram tracks positioned in the middle, running between the opposing directions of traffic. The tracks are separated from the vehicle lanes by dashed white lines and a thin strip of grass/different paving.

Vehicles and Maneuvers (Indicated by Arrows):

A green delivery van is traveling in the top lane (opposite direction of travel), proceeding straight ahead.

A red hatchback is traveling in the lane next to the tram tracks, proceeding straight ahead.

A blue semi-trailer truck is traveling in the lane closest to the right edge, proceeding straight ahead.

A white and blue tram is visible in the top left, traveling on the tracks and proceeding straight ahead (in the same direction as the green van).

Context: All three motor vehicles (van, car, truck) and the tram are proceeding straight, but are located in different sections of the road designed for different directions of travel."
83,"The image is a driver's perspective approaching an urban area on a cobbled street.Road Sign: A blue rectangular sign with a white silhouette of buildings ($520$ in Latvian CSN) is visible on the right, indicating the driver is entering a populated area (Town/City Limit). This sign automatically sets the speed limit to $50$ km/h unless otherwise posted.Road Layout: The road surface is cobblestone (bruģis) and is bordered by a wide, tree-lined grassy verge/median on the left.Traffic: A few vehicles are visible far ahead in the distance. A traffic light is barely visible in the center background.Environment: The street is lined with trees and a mix of colorful, older residential buildings and a tall, modern high-rise building in the background.Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
84,"The image is a high-angle view depicting an interaction between a truck and a car at an unregulated level crossing.Location: The scene is an unregulated level crossing (railroad crossing without barriers or lights) on a minor road, confirmed by the presence of a St. Andrew's Cross sign (single cross, Sign $104$ in Latvian CSN) and the train tracks themselves.Road Signs:A Give Way sign (inverted triangle, Sign $206$) is visible on the left, facing the traffic, indicating the road is non-priority and drivers must yield.A St. Andrew's Cross sign ($104$) marks the proximity to the railway tracks.Vehicles and Maneuvers (Indicated by Arrows):A large blue truck is visible ahead, having crossed the tracks and preparing to turn left onto another minor road (indicated by the green curved arrow).A green hatchback is visible on the crossing road, approaching the tracks. The car has a star-like graphic indicating brake lights or hazard, suggesting it is slowing or stopped near the tracks.Road Layout: The road surfaces are gravel or rough asphalt, and the area is rural/wooded."
85,"The image is a high-angle view showing a yellow car performing a maneuver around a road work zone on a rural road.Road Signs:A circular sign with a red border and two intersecting red diagonal lines (Sign $306$ in Latvian CSN) is visible on the left and also placed on a small stand on the right. This sign signifies No Stopping or Parking (Apstāšanās aizliegums).A white rectangular plate with a black symbol of a construction worker digging (Sign $810$ series in Latvian CSN) is below the right-side sign, indicating the restriction is due to Road Work.Road Layout: The road is a two-way, single carriageway, surrounded by woods. The central dashed line is interrupted by the work zone.Vehicles and Maneuver (Indicated by Arrows):A yellow passenger car is visible in the foreground, performing a maneuver (indicated by the green curved arrow) to move around the no-stopping/road work sign and proceed straight ahead.Two other vehicles (outlined in white/black, possibly representing the eventual path or other traffic) are visible further ahead, proceeding straight.Context: The yellow car is navigating past a zone where stopping and parking are prohibited due to road work."
86,"The image is a high-angle view showing a passenger car and a van approaching a signalized T-junction where one movement is currently permitted.Traffic Lights: The main traffic light for the driver (approaching from the bottom right) is showing a red circular light and a green arrow pointing right (a subsidiary signal, Section $7.6$ of CSN). This combination grants permission to turn right, even though the main signal is red.Vehicles and Maneuvers (Indicated by Arrows):An orange passenger car is approaching from the right and is preparing to turn right (indicated by the large green curved arrow). The car has a star-like graphic indicating brake lights or hazard.A yellow van is approaching from the opposite street and is preparing to turn left (indicated by the green arrow). The traffic light for the van is showing a red circular light and a green arrow pointing left.Intersection Layout: The intersection is a T-junction in a residential area with trees and houses, and the road surface is rough asphalt or gravel."
87,"The image is a driver's perspective approaching an intersection with a clear priority designation in a residential area.Road Signs:A Priority Road sign (yellow diamond, Sign $201$ in Latvian CSN) is visible on the right.Directly below it is a Direction of Main Road plate ($812$), indicating that the priority road continues straight and then turns right (forming a T-junction or major corner).Traffic:A cyclist is visible on the right side of the road, on the shoulder or path, approaching the intersection.No other motor vehicles are immediately visible.Maneuver (Indicated by Arrow): A large green curved arrow overlaid on the road indicates the driver's intended path is to turn left onto the side street (leaving the priority road).Environment: The intersection is in a residential area with paved/gravel roads, trees, and single-family houses."
88,"The image is a driver's perspective approaching a gas station/fueling area from the street.

Location: The scene is the entrance/approach to a commercial gas station, indicated by the fuel pumps, canopy, and kiosk buildings visible inside the facility.

Vehicles and People:

A blue passenger car is parked at one of the fuel pumps on the left. A man is standing near the car, possibly preparing to fuel or having just finished.

A red passenger car is visible on the right, driving away from or parallel to the fuel pumps, heading toward the exit.

Road Layout: The area immediately in the foreground is a paved service area/entrance, separated from the background by curbs. In the background, there is a large, older apartment building.

Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
89,"The image is a driver's perspective on a multi-lane urban street, following a green SUV.Road Sign: A triangular sign with a red border and a double-hump symbol ($116$ in Latvian CSN) is visible on the right. This sign warns of Uneven Road or Speed Bumps (Nelīdzenums).Road Layout: The street has at least two lanes in the driver's direction, separated by dashed white lines. The road is bordered by a sidewalk/bicycle path on the right.Traffic/People:A green SUV is visible directly ahead in the right lane.A cyclist and a pedestrian (man in a suit) are visible on the sidewalk/path on the left.Vehicles are visible in the rear-view mirror, including a dark-colored car.A motorcycle is parked or stopped on the right shoulder/sidewalk.Environment: The street is surrounded by high-rise apartment buildings.Dashboard Indicators: The driver's dashboard shows the left turn signal is active (green arrow flashing left) and the low beam headlights are on (green icon)."
90,"The image is a driver's perspective approaching an intersection with a Give Way sign and an approaching emergency vehicle.Road Signs:A Give Way sign (inverted triangle, Sign $206$ in Latvian CSN) is visible on the right, indicating the driver must yield to traffic on the intersecting road.A white triangular sign is visible on the left side of the road, facing the driver's perspective. Although not clearly visible, it is likely a supplementary sign related to the intersection.Traffic:A yellow and red ambulance is approaching the intersection from the right side road. The musical notes above the ambulance indicate that its siren/special signals are active.An orange passenger car is visible on the left side road.Maneuver (Indicated by Arrows):The driver's dashboard shows the right turn signal is active (green arrow flashing right).Green arrows overlaid on the road indicate the driver has the option to turn right or turn left.Intersection Layout: The intersection is unregulated by lights, relying on signs. The road surface is cobblestone/gravel."
91,"The image is a high-angle view showing a white van stopped near a commercial building (a store) in a service area, which is partially restricted.Road Sign: A circular sign with a red border and two intersecting red diagonal lines ($306$ in Latvian CSN) is visible on the right. This sign signifies No Stopping or Parking (Apstāšanās aizliegums).Vehicles and People:A white delivery van is parked partially on the street and partially on the curb/service area. Its rear doors are open.Two men are visible, one in red and one in green, handling what appears to be a delivery or loading/unloading cargo from the back of the van and moving it toward the building's entrance.Location: The building is marked with the word ""VEIKALS"" (Store/Shop in Latvian) and has large windows and a glass door.Context: The van is stopped or parked in close proximity to a No Stopping or Parking sign ($306$) while performing loading/unloading operations at a shop entrance."
92,"The image is a driver's perspective on a rural highway or main road, having just exited a populated area.Road Sign: A white rectangular sign with a black silhouette of buildings crossed out with a red diagonal line ($521$ in Latvian CSN) is visible on the right. This sign indicates the End of a Populated Area (Beidzas apdzīvota vieta). This typically means the general speed limit automatically reverts to $90$ km/h (unless otherwise posted) and specific urban restrictions end.Road Layout: The road is a multi-lane highway with two lanes in the driver's direction, separated by solid and dashed white lines. It is bordered by a paved shoulder and a grassy verge with fields and woods beyond.Traffic:A white passenger car is visible directly ahead in the right lane.A red passenger car is visible in the left lane, apparently overtaking the white car or other vehicles ahead.Other vehicles are visible in the distance.Environment: The scene is rural, with open fields and dense forest lining the road."
93,"The image is a driver's perspective approaching an unregulated intersection in a residential area.

Intersection Type: The intersection has no visible signs or traffic lights, suggesting it is an intersection of equal significance (vienādas nozīmes ceļu krustojums). The road surface is gravel or rough asphalt.

Traffic:

A yellow van is visible on the left side road, approaching the intersection. The van has a star-like graphic indicating brake lights or hazard.

A red hatchback is visible on the right side road, approaching the intersection.

Maneuver (Indicated by Arrows): A large green arrow overlaid on the road indicates the driver's intended path is to proceed straight ahead.

Environment: The intersection is surrounded by high-rise apartment buildings (left) and single-family homes (right), with trees and bushes."
94,"The image is a driver's perspective approaching an unregulated intersection on an asphalt road in a semi-rural or park setting.

Intersection Type: The intersection has no visible signs or traffic lights, suggesting it is an intersection of equal significance (vienādas nozīmes ceļu krustojums).

Traffic:

A red passenger car is visible directly ahead, continuing straight across the intersection. The car has illuminated brake lights.

No other vehicles are immediately visible on the side roads.

Maneuver (Indicated by Arrow): A large green arrow overlaid on the road indicates the driver's intended path is to proceed straight ahead.

Environment: The intersection is surrounded by trees and grassy verges. A distinct embankment or barrier (red-colored) is visible on the left side of the intersection.

Dashboard Indicators: The dashboard shows the low beam headlights are on (green icon)."
